gene,gbm_subtype
AGT,AC
ANXA5,AC
AQP4,AC
ATP1A2,AC
ATP1B2,AC
BCAN,AC
CLU,AC
CST3,AC
DBI,AC
EDNRB,AC
F3,AC
FABP7,AC
GATM,AC
GFAP,AC
GPM6B,AC
HEPN1,AC
HEY1,AC
HOPX,AC
METTL7B,AC
MLC1,AC
MT3,AC
NDRG2,AC
PCDHGC3,AC
PLTP,AC
PMP2,AC
PMP22,AC
PON2,AC
PPAP2B,AC
PRCP,AC
PTPRZ1,AC
RAB31,AC
RAMP1,AC
S100A16,AC
S100B,AC
SLC1A3,AC
SPARC,AC
SPARCL1,AC
TSPAN7,AC
TTYH1,AC
ASF1B,G1/S
AURKB,G1/S
CCNE2,G1/S
CDC45,G1/S
CDCA5,G1/S
CENPK,G1/S
CENPM,G1/S
CKS1B,G1/S
DUT,G1/S
FEN1,G1/S
GINS2,G1/S
GMNN,G1/S
HIST1H4C,G1/S
KIAA0101,G1/S
MCM2,G1/S
MCM3,G1/S
MCM4,G1/S
MCM7,G1/S
MELK,G1/S
MLF1IP,G1/S
PCNA,G1/S
PKMYT1,G1/S
RAD51AP1,G1/S
RNASEH2A,G1/S
RRM1,G1/S
RRM2,G1/S
TK1,G1/S
TMEM106C,G1/S
ZWINT,G1/S
ANP32E,G2/M
ARHGAP11A,G2/M
ARL6IP1,G2/M
AURKA,G2/M
BUB1,G2/M
BUB1B,G2/M
CCNA2,G2/M
CCNB1,G2/M
CCNB2,G2/M
CDC20,G2/M
CDC25B,G2/M
CDCA3,G2/M
CDCA8,G2/M
CENPF,G2/M
CKAP2,G2/M
CKAP2L,G2/M
ECT2,G2/M
FOXM1,G2/M
GPSM2,G2/M
H2AFZ,G2/M
HMGB3,G2/M
KIF11,G2/M
KIF20A,G2/M
KIF2C,G2/M
KIF4A,G2/M
KIFC1,G2/M
KNSTRN,G2/M
KPNA2,G2/M
MXD3,G2/M
MZT1,G2/M
NCAPD2,G2/M
OIP5,G2/M
PLK1,G2/M
PSRC1,G2/M
RACGAP1,G2/M
RANGAP1,G2/M
REEP4,G2/M
SMC4,G2/M
SPAG5,G2/M
TACC3,G2/M
TMPO,G2/M
TROAP,G2/M
TTK,G2/M
TUBA1C,G2/M
TUBB4B,G2/M
A2M,MES1
ACTN1,MES1
ANXA1,MES1
ANXA2,MES1
APOE,MES1
C1R,MES1
C1S,MES1
C3,MES1
C8orf4,MES1
CD44,MES1
CHI3L1,MES1
CLIC1,MES1
CLIC4,MES1
CTSB,MES1
EFEMP1,MES1
EMP1,MES1
EMP3,MES1
FN1,MES1
GFPT2,MES1
GJA1,MES1
GSN,MES1
IFITM3,MES1
IGFBP7,MES1
LGALS1,MES1
LGALS3,MES1
MGP,MES1
MGST1,MES1
MT1E,MES1
MT1X,MES1
MT2A,MES1
NAMPT,MES1
NNMT,MES1
NPC2,MES1
PLP2,MES1
PRDX6,MES1
RCAN1,MES1
S100A10,MES1
S100A11,MES1
S100A16,MES1
SERPINA3,MES1
SERPINE1,MES1
SERPING1,MES1
SOD2,MES1
SPP1,MES1
TAGLN2,MES1
TIMP1,MES1
TNFRSF1A,MES1
TUBA1C,MES1
VIM,MES1
WWTR1,MES1
ADM,MES2
AKAP12,MES2
ANGPTL4,MES2
ANXA2,MES2
ASNS,MES2
ATF3,MES2
BNIP3,MES2
BNIP3L,MES2
CA9,MES2
CDKN1A,MES2
DDIT3,MES2
DNAJB9,MES2
EGLN3,MES2
ENO2,MES2
EPAS1,MES2
ERO1L,MES2
FTL,MES2
GBE1,MES2
GDF15,MES2
GOLT1B,MES2
HERPUD1,MES2
HILPDA,MES2
HSPA5,MES2
HSPA9,MES2
IGFBP3,MES2
INSIG2,MES2
LDHA,MES2
LGALS3,MES2
MT1X,MES2
NAMPT,MES2
NDRG1,MES2
NRN1,MES2
P4HA1,MES2
PFKP,MES2
PGK1,MES2
PLOD2,MES2
PPP1R15A,MES2
RPL21,MES2
SERTAD1,MES2
SLC2A1,MES2
SLC2A3,MES2
SLC39A14,MES2
SLC6A6,MES2
SQSTM1,MES2
TRAM1,MES2
TRIB3,MES2
UFM1,MES2
VIM,MES2
WARS,MES2
XPOT,MES2
ABAT,NPC1
AMOTL2,NPC1
ASCL1,NPC1
BCAN,NPC1
BEX1,NPC1
BTG2,NPC1
CD24,NPC1
CHD7,NPC1
DBN1,NPC1
DCX,NPC1
DLL1,NPC1
DLL3,NPC1
ELAVL4,NPC1
ELMO1,NPC1
ETV1,NPC1
FXYD6,NPC1
GLCCI1,NPC1
GPR56,NPC1
GRIK2,NPC1
HES6,NPC1
HIP1,NPC1
HN1,NPC1
LMF1,NPC1
LRRN1,NPC1
MAP2,NPC1
MARCKSL1,NPC1
MEST,NPC1
MLLT11,NPC1
MYT1,NPC1
NEU4,NPC1
NPPA,NPC1
NXPH1,NPC1
OLIG1,NPC1
PCBP4,NPC1
PFN2,NPC1
PTPRS,NPC1
SCG3,NPC1
SERINC5,NPC1
SEZ6,NPC1
SEZ6L,NPC1
SHD,NPC1
SOX11,NPC1
SOX4,NPC1
STMN1,NPC1
TAGLN3,NPC1
TCF12,NPC1
TNR,NPC1
TSPAN13,NPC1
TUBA1A,NPC1
TUBB3,NPC1
ATP1B1,NPC2
BLCAP,NPC2
CD200,NPC2
CD24,NPC2
CEP170,NPC2
CRABP1,NPC2
DBN1,NPC2
DCX,NPC2
DDAH2,NPC2
DLX5,NPC2
DLX6-AS1,NPC2
DPYSL3,NPC2
DPYSL5,NPC2
DYNC1I1,NPC2
ELAVL4,NPC2
ENO2,NPC2
FNBP1L,NPC2
GNG3,NPC2
HMP19,NPC2
HN1,NPC2
IGFBPL1,NPC2
KIF5A,NPC2
KIF5C,NPC2
LBH,NPC2
LOC150568,NPC2
MAP1B,NPC2
MIAT,NPC2
MLLT11,NPC2
NDRG4,NPC2
NFIB,NPC2
NFIX,NPC2
NREP,NPC2
NSG1,NPC2
PAK3,NPC2
PKIA,NPC2
RBFOX2,NPC2
RND3,NPC2
SEPT3,NPC2
SNAP25,NPC2
SOX11,NPC2
SOX4,NPC2
STMN1,NPC2
STMN2,NPC2
STMN4,NPC2
TAGLN3,NPC2
TCF4,NPC2
TMEM161B-AS1,NPC2
TUBB2A,NPC2
TUBB3,NPC2
UCHL1,NPC2
ALCAM,OPC
APOD,OPC
BCAN,OPC
BCAS1,OPC
CA10,OPC
CADM2,OPC
CNP,OPC
CNTN1,OPC
DBI,OPC
EPB41L2,OPC
FABP5,OPC
FGF12,OPC
FIBIN,OPC
FXYD6,OPC
GPM6B,OPC
GPR17,OPC
GPR37L1,OPC
HRASLS,OPC
LHFPL3,OPC
LIMA1,OPC
LMF1,OPC
LPPR1,OPC
NEU4,OPC
NKAIN4,OPC
NLGN3,OPC
OLIG1,OPC
OMG,OPC
P2RX7,OPC
PCDHGC3,OPC
PGRMC1,OPC
PHYHIPL,OPC
PLLP,OPC
PLP1,OPC
PMP2,OPC
PSAT1,OPC
PTPRZ1,OPC
RAB31,OPC
RNF13,OPC
RTKN,OPC
SCD5,OPC
SCRG1,OPC
SERINC5,OPC
SIRT2,OPC
SOX2-OT,OPC
THY1,OPC
TMEM206,OPC
TNR,OPC
TNS3,OPC
TTYH1,OPC
VCAN,OPC
