,AC,G2/M,MES1,MES2,NPC1,NPC2,OPC
0,0.09171598768130279,0.09145634884383676,-0.11681029324991082,0.053821335746875844,0.164926633738602,0.11429523918131025,0.27193297345094497
1,-0.5552923922033918,-0.148588258143277,0.308328929102565,-0.1519673729573704,-0.42150495093287305,-0.06703352212635721,-1.0375025909540436
2,-0.11665800399048197,-0.05084439209127755,-0.09099222751238409,-0.134193494750629,-0.024786165929798928,-0.06841785582757805,-0.12674083507488598
3,0.017172037291590645,-0.020689029144945092,0.09507188845015525,-0.029786527868151357,-0.029072202452864057,-0.00466406481287166,-0.13186086732841956
4,-0.409812310933302,0.4452024759040072,-0.2428402227919794,-0.0947173004789523,0.7347950461127921,0.6448662442259692,0.2080148892401621
5,-0.3367738358570263,0.6547451730983823,-0.21966422565431867,-0.1641913675840689,0.5278792173612763,0.43424569752587366,0.08562698957849496
6,0.2547841692862722,-0.09325427230862914,-0.008947348164097133,0.049598172216169176,-0.13962172462358793,-0.15850924961843899,-0.18769539575825991
7,0.10952168187445488,-0.24810098507056358,-0.20098075383301195,0.3959589117633959,-0.06863334920137967,0.05130383817284396,0.19942739282716862
8,-0.24285090678272853,0.19918365660325732,-0.043416005756601116,-0.001654811090420627,-0.04929776107519667,-0.0624709506851736,-0.3386166612262003
9,0.3076249501642345,-0.3638963877525353,0.49961361191081377,-0.004457183378079782,-0.43049191217156046,-0.38419118313449047,0.031221681677338558
10,0.15063877315426116,0.9124302696596988,-0.05299037000765125,-0.006409624579040287,0.3922295119420147,0.15490509262083668,0.05943215345124395
11,0.232759369393082,-0.328113671049104,0.27684817634221615,0.10499249167985247,-0.28582428609674515,-0.2572245905852806,-0.10975924127092097
12,0.021763615597731416,-0.15434041734118037,-0.3474882013481811,0.07590394666798295,0.22616867382228703,0.27927457101121655,0.5413604245624599
13,0.27018642940773513,-0.4051290386349982,0.16245660374950965,0.07410807579963413,-0.04098502587605003,-0.022595988980989384,0.34413712579368744
14,-0.038216914783063084,0.8106853414013117,-0.3549930659147826,0.14159859506631378,0.4025601168938126,0.2931462413832123,0.24520459403064485
15,0.21183397877771906,-0.4709876690915515,0.5800455290334859,-0.033029520801204186,-0.32217324244544676,-0.3026391682574714,0.06488807365563065
16,-0.24148275790702753,0.38866412690432395,-0.399710354964659,0.01096145226008948,0.33662795362699155,0.2857950692961818,0.12225041731451601
17,0.2573764379369115,-0.1291191839841006,-0.09711943245192482,0.041357488817534406,-0.1566141977507241,-0.10405396820617883,0.22472629887345594
18,-0.5606265214378802,-0.03791860910172846,-0.1702153155480063,-0.5574539433864809,-0.08119948246740367,-0.20711800237810363,-0.7807304541312026
19,-0.9043104926908139,0.14970202612650343,-0.09406830438128064,-0.6009845571815434,-0.05154543928133014,-0.13550581583927288,-0.8989204438377614
